gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
0,1,0,0,0.0,0,0,0,0,1,0,0,1,1,0.21293532338308457,0.0024059543041772442,1,0,0,1,0,0,0,0,1,0,1.0
0,0,1,0,0.15492957746478872,1,0,0,0,0,0,0,0,0,0.015422885572139305,0.02116893607200554,0,0,1,0,1,0,1,0,0,0,0.0
0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0.018905472636815884,0.00015578121393953342,0,0,1,1,0,0,0,0,0,1,1.0
1,0,1,0,0.8028169014084507,1,1,0,1,0,1,0,0,1,0.4144278606965174,0.4022963304869605,1,0,0,0,0,1,0,1,0,0,0.0
0,0,1,1,0.676056338028169,1,0,1,1,0,1,0,0,0,0.4114427860696518,0.34058389106854375,1,0,0,1,0,0,0,1,0,0,0.0
1,0,0,0,0.4084507042253521,1,0,1,1,0,0,0,0,1,0.3686567164179104,0.17445188091391645,1,0,0,1,0,0,1,0,0,0,0.0
0,0,1,1,0.647887323943662,1,1,0,1,0,0,1,1,1,0.8069651741293532,0.545851603969536,0,1,0,1,0,0,0,0,1,0,1.0
0,0,1,1,0.0,0,0,0,1,0,0,0,0,0,0.11890547263681589,0.0013154858066005077,1,0,0,1,0,0,0,0,1,0,1.0
0,0,1,0,1.0,1,1,1,1,1,1,1,1,1,0.7164179104477612,0.7328236787445188,1,0,0,0,0,1,0,1,0,0,0.0
1,0,0,1,0.22535211267605634,1,0,0,0,0,0,1,1,1,0.4621890547263682,0.12396722824832679,1,0,0,1,0,0,0,0,0,1,1.0
1,1,1,0,0.9859154929577465,1,1,1,1,1,1,0,0,1,0.7771144278606964,0.778692591737826,0,1,0,0,0,1,0,1,0,0,0.0
0,1,1,0,0.014084507042253521,1,0,0,0,1,0,1,1,1,0.7686567164179104,0.01879183014078006,0,1,0,1,0,0,0,1,0,0,0.0
1,0,1,1,0.36619718309859156,1,0,1,1,1,1,0,0,0,0.47661691542288565,0.21412993307177478,1,0,0,0,1,0,0,0,0,1,0.0
0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0.019402985074626844,0.0001615508885298867,0,0,1,1,0,0,1,0,0,0,0.0
0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0.26865671641791045,0.003052157858296792,1,0,0,1,0,0,1,0,0,0,0.0
1,0,1,1,1.0,1,1,1,1,0,1,1,0,0,0.8124378109452737,0.8346295868912993,0,1,0,0,0,1,1,0,0,0,0.0
0,0,0,0,0.056338028169014086,1,0,0,0,0,0,0,0,1,0.5119402985074627,0.034398799907685206,0,1,0,1,0,0,0,0,1,0,1.0
1,0,0,0,0.6338028169014085,1,0,0,0,1,0,0,0,1,0.5626865671641791,0.40728132933302563,0,1,0,1,0,0,0,1,0,0,0.0
0,0,0,0,0.46478873239436624,1,1,0,1,1,0,1,1,1,0.8766169154228854,0.4073909531502423,0,1,0,1,0,0,0,0,1,0,1.0
1,0,0,0,0.14084507042253522,1,1,0,0,1,0,1,1,1,0.7920398009950248,0.12538656819755367,0,1,0,1,0,0,1,0,0,0,1.0
0,0,1,1,0.1267605633802817,1,0,0,1,0,0,0,0,0,0.3114427860696517,0.05272328640664667,1,0,0,0,1,0,0,0,0,1,0.0
1,0,1,1,0.971830985915493,1,1,1,1,0,0,1,0,1,0.5069651741293533,0.5600680821601662,1,0,0,0,0,1,0,1,0,0,0.0
1,0,1,1,0.22535211267605634,1,0,0,0,0,0,0,0,0,0.02487562189054726,0.04609393030233095,0,0,1,0,1,0,0,0,0,1,0.0
1,0,0,0,0.8732394366197184,1,1,1,1,1,1,1,0,1,0.6129353233830845,0.5588102930994692,1,0,0,0,0,1,0,1,0,0,0.0
1,0,1,0,0.16901408450704225,1,1,1,1,0,1,1,0,1,0.5766169154228856,0.11108354488806832,1,0,0,1,0,0,0,0,1,0,0.0
1,0,0,0,0.676056338028169,1,1,0,0,0,0,0,1,1,0.6592039800995024,0.44863835679667663,0,1,0,1,0,0,0,0,1,0,0.0
0,0,0,0,0.014084507042253521,1,0,0,1,0,0,0,0,0,0.30845771144278605,0.009023771059312256,1,0,0,1,0,0,0,0,0,1,0.0
1,0,0,0,0.014084507042253521,1,0,0,0,0,0,1,0,1,0.6208955223880598,0.014464574198015234,0,1,0,1,0,0,0,0,1,0,1.0
0,0,0,0,0.7183098591549296,1,1,1,0,0,1,1,1,1,0.6119402985074627,0.4845372720978537,1,0,0,0,0,1,0,1,0,0,0.0
1,0,1,1,0.9577464788732395,1,1,1,0,1,1,0,0,1,0.4567164179104478,0.4887260558504501,1,0,0,0,0,1,0,1,0,0,0.0
1,1,0,0,0.5915492957746479,1,1,0,1,0,0,1,0,1,0.7164179104477612,0.4407973690283868,0,1,0,1,0,0,0,0,1,0,0.0
1,0,0,0,0.19718309859154928,1,0,1,1,0,0,1,1,1,0.8044776119402984,0.1624278790676206,0,1,0,1,0,0,0,1,0,0,1.0
1,1,1,0,0.33802816901408456,1,1,1,0,0,1,1,0,1,0.5099502487562189,0.2000750057696746,1,0,0,1,0,0,0,1,0,0,0.0
1,1,1,0,0.09859154929577466,1,1,0,1,0,0,0,0,1,0.6208955223880598,0.07090930071543965,0,1,0,1,0,0,0,1,0,0,1.0
1,1,1,1,0.8309859154929577,1,0,1,1,1,1,0,1,1,0.56318407960199,0.5120643895684284,1,0,0,0,1,0,0,1,0,0,0.0
0,1,0,0,0.23943661971830985,1,1,0,0,0,0,1,1,1,0.7681592039800995,0.20006346642049389,0,1,0,1,0,0,0,0,1,0,1.0
1,0,1,1,0.8732394366197184,1,1,1,0,0,0,1,1,1,0.8099502487562189,0.7261020078467574,0,1,0,0,1,0,0,1,0,0,0.0
0,1,1,1,0.9154929577464789,1,1,0,1,1,1,1,1,1,0.8975124378109453,0.8143953381029311,0,1,0,0,1,0,0,0,1,0,0.0
1,0,1,1,0.46478873239436624,1,1,0,0,0,0,0,0,0,0.06666666666666665,0.10102700207708286,0,0,1,0,0,1,0,1,0,0,0.0
1,0,0,0,1.0,1,1,0,0,1,1,1,1,1,0.8880597014925372,0.9040964689591507,0,1,0,0,0,1,0,1,0,0,0.0
1,0,1,0,0.647887323943662,1,1,0,0,1,0,1,1,1,0.818407960199005,0.5409993076390492,0,1,0,1,0,0,0,0,1,0,0.0
0,0,0,0,0.8309859154929577,1,1,0,1,0,0,1,0,1,0.7129353233830846,0.6268059081467805,0,1,0,1,0,0,1,0,0,0,0.0
0,0,1,0,1.0,0,0,1,1,1,0,0,0,0,0.2373134328358209,0.3396261250865451,1,0,0,0,0,1,1,0,0,0,0.0
1,0,1,1,0.23943661971830985,1,0,0,0,1,1,0,0,1,0.3597014925373134,0.10827371336256636,1,0,0,0,1,0,0,1,0,0,0.0
1,0,0,0,0.11267605633802817,1,1,0,0,0,0,1,1,0,0.7577114427860697,0.0967516732056312,0,1,0,1,0,0,0,0,1,0,1.0
1,0,0,0,0.02816901408450704,1,0,0,1,0,1,1,1,1,0.5676616915422885,0.025998153704131086,1,0,0,1,0,0,0,0,1,0,0.0
0,0,1,0,0.647887323943662,1,1,0,1,0,0,0,0,1,0.6034825870646766,0.41905723517193627,0,1,0,0,1,0,0,0,1,0,0.0
1,0,0,0,0.4225352112676057,1,0,0,1,1,1,1,1,0,0.6064676616915423,0.28599123009462263,1,0,0,0,0,1,0,0,0,1,0.0
1,0,1,1,0.6901408450704226,1,0,0,0,0,0,0,0,0,0.018905472636815884,0.10525040387722133,0,0,1,0,0,1,1,0,0,0,0.0
0,0,0,0,0.1267605633802817,1,0,1,0,1,0,0,0,1,0.6129353233830845,0.10022501730902378,0,1,0,1,0,0,0,0,0,1,0.0
0,0,0,0,0.0,1,0,0,0,0,1,0,0,0,0.30646766169154227,0.0034906531271636275,1,0,0,1,0,0,0,0,0,1,0.0
1,0,1,1,0.7183098591549296,1,0,0,0,0,0,0,0,1,0.021393034825870627,0.12368451419339951,0,0,1,0,1,0,0,0,1,0,0.0
0,1,1,1,0.8873239436619719,1,1,1,0,1,1,1,1,1,0.9288557213930347,0.8170090006923609,0,1,0,0,0,1,1,0,0,0,0.0
0,0,1,1,0.8591549295774649,1,1,0,0,0,0,0,0,1,0.05970149253731341,0.16222017078236786,0,0,1,0,0,1,1,0,0,0,0.0
1,0,0,1,0.02816901408450704,1,0,1,0,0,1,0,1,1,0.46019900497512434,0.018301407800600047,1,0,0,1,0,0,1,0,0,0,0.0
1,1,0,0,0.7746478873239437,1,1,1,1,1,0,1,1,0,0.917910447761194,0.7062889453034848,0,1,0,0,1,0,0,0,1,0,0.0
1,0,0,0,0.6338028169014085,1,0,0,0,0,0,0,1,0,0.37213930348258706,0.30810639279944607,1,0,0,0,1,0,0,1,0,0,0.0
1,0,1,1,0.09859154929577466,1,0,1,1,0,0,0,0,0,0.3621890547263681,0.05347911377798293,1,0,0,1,0,0,0,0,0,1,0.0
0,1,0,0,0.4084507042253521,1,0,1,1,0,0,1,1,1,0.5621890547263682,0.24146088160627743,1,0,0,1,0,0,0,0,1,0,0.0
1,0,1,1,0.619718309859155,1,1,0,0,0,0,0,0,1,0.07611940298507458,0.13821832448649896,0,0,1,0,1,0,0,1,0,0,0.0
1,0,0,1,0.0,1,0,0,0,0,0,1,0,1,0.607960199004975,0.006987075928917609,0,1,0,1,0,0,0,0,1,0,1.0
1,0,1,1,0.14084507042253522,0,0,1,0,0,0,1,1,0,0.32139303482587056,0.06306831294714979,1,0,0,1,0,0,0,0,1,0,0.0
1,0,1,0,0.08450704225352114,1,0,0,0,1,0,0,0,1,0.5661691542288557,0.055169628432956384,0,1,0,1,0,0,1,0,0,0,1.0
1,0,0,0,0.5774647887323944,1,0,0,1,1,1,1,1,1,0.8512437810945274,0.4971959381490884,0,1,0,1,0,0,1,0,0,0,0.0
1,0,1,0,0.676056338028169,1,0,0,0,0,0,0,0,1,0.018905472636815884,0.11014885760443112,0,0,1,0,0,1,1,0,0,0,0.0
0,0,0,0,0.11267605633802817,1,1,0,1,0,0,1,1,1,0.8064676616915423,0.10384837295176552,0,1,0,1,0,0,0,1,0,0,0.0
1,0,1,0,0.47887323943661975,1,0,1,0,0,0,1,0,1,0.43681592039800987,0.2534791137779829,1,0,0,0,1,0,1,0,0,0,0.0
1,0,1,1,0.6619718309859155,1,0,0,0,0,0,0,0,0,0.023880597014925342,0.11980152319409186,0,0,1,0,0,1,1,0,0,0,0.0
1,0,1,1,0.6338028169014085,1,0,0,0,0,0,0,0,1,0.01691542288557213,0.1048119086083545,0,0,1,0,0,1,0,0,0,1,0.0
0,0,1,0,0.3943661971830986,0,0,0,0,0,0,1,0,0,0.154228855721393,0.11429148396030464,1,0,0,1,0,0,0,0,0,1,0.0
0,0,1,1,0.4084507042253521,1,0,0,1,1,0,0,0,0,0.6348258706467661,0.29441495499653814,0,1,0,1,0,0,1,0,0,0,0.0
0,1,0,0,0.0,1,0,0,0,0,1,0,0,0,0.5616915422885572,0.006450496192014771,0,1,0,1,0,0,0,0,1,0,0.0
0,0,1,1,0.9154929577464789,1,1,1,0,1,1,1,1,1,0.654228855721393,0.6572178629125317,1,0,0,0,0,1,0,0,0,1,0.0
1,0,0,0,0.9014084507042254,1,1,1,1,1,0,1,1,1,0.9233830845771144,0.8179321486268175,0,1,0,1,0,0,0,1,0,0,0.0
0,0,0,0,1.0,1,1,0,1,1,0,1,1,1,0.8223880597014926,0.8585564274174937,0,1,0,0,0,1,1,0,0,0,0.0
1,0,0,0,0.15492957746478872,1,1,1,0,0,0,0,0,1,0.6039800995024875,0.10484075698130627,0,1,0,1,0,0,0,0,1,0,1.0
0,0,1,1,0.9859154929577465,1,1,1,1,0,1,0,0,1,0.4835820895522387,0.545799676898223,1,0,0,0,1,0,0,1,0,0,0.0
0,0,0,0,0.056338028169014086,1,0,0,0,0,0,0,0,0,0.027860696517412936,0.010968151396261252,0,0,1,1,0,0,0,0,0,1,1.0
0,0,0,0,0.7183098591549296,1,0,0,0,0,0,0,0,0,0.027363184079601977,0.12559427648280638,0,0,1,0,0,1,1,0,0,0,0.0
1,1,1,0,0.33802816901408456,1,0,0,1,1,0,1,1,1,0.7985074626865671,0.2879875375028848,0,1,0,1,0,0,0,0,1,0,1.0
0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0.019402985074626844,0.0001615508885298867,0,0,1,1,0,0,0,0,0,1,0.0
1,0,1,1,0.0,1,0,0,0,0,0,0,0,0,0.011940298507462671,7.500576967459007e-05,0,0,1,1,0,0,0,0,1,0,0.0
0,0,0,0,0.5211267605633804,1,1,0,0,1,1,1,0,0,0.763681592039801,0.41389337641357027,0,1,0,0,1,0,1,0,0,0,0.0
1,1,1,0,0.9154929577464789,0,0,0,1,1,0,1,0,0,0.2716417910447761,0.3471555504269559,1,0,0,0,1,0,1,0,0,0,0.0
0,0,1,0,0.943661971830986,1,1,0,1,1,1,1,1,1,0.9129353233830845,0.8761885529656128,0,1,0,0,0,1,1,0,0,0,1.0
0,0,0,0,0.056338028169014086,0,0,0,0,0,0,0,0,0,0.06019900497512437,0.009393030233094853,1,0,0,1,0,0,0,0,0,1,0.0
1,0,1,1,1.0,1,1,1,1,0,0,1,1,1,0.854726368159204,0.840555042695592,0,1,0,0,1,0,0,0,1,0,0.0
1,0,0,0,0.4366197183098592,0,0,1,0,0,0,0,0,0,0.11840796019900496,0.10487537502884837,1,0,0,0,1,0,0,0,0,1,0.0
0,0,0,0,0.5915492957746479,1,1,0,0,0,0,1,1,0,0.7572139303482587,0.4503231017770598,0,1,0,0,1,0,0,0,0,1,0.0
0,0,1,1,1.0,1,0,0,0,0,0,0,0,0,0.011442786069651711,0.15514078006000462,0,0,1,0,0,1,0,1,0,0,0.0
0,0,1,0,0.7605633802816901,1,1,1,1,0,0,1,0,1,0.7810945273631841,0.6023655665820448,0,1,0,1,0,0,0,0,1,0,1.0
1,0,0,0,0.7183098591549296,1,0,1,0,1,1,0,0,0,0.3950248756218906,0.34888645280406183,1,0,0,0,1,0,0,1,0,0,0.0
1,0,0,0,0.5915492957746479,1,0,0,1,1,0,1,0,1,0.7303482587064677,0.45410800830833137,0,1,0,1,0,0,0,0,1,0,0.0
1,1,1,0,0.5070422535211268,1,1,0,0,0,0,0,0,1,0.5796019900497512,0.3287964458804523,0,1,0,1,0,0,0,0,1,0,1.0
1,0,1,1,0.8873239436619719,0,0,0,1,0,1,1,1,1,0.36169154228855727,0.3928802215555043,1,0,0,0,0,1,0,0,1,0,0.0
0,0,1,1,0.02816901408450704,1,0,1,1,0,0,1,0,0,0.7124378109452736,0.026494345718901455,0,1,0,1,0,0,0,0,1,0,0.0
1,0,0,0,0.49295774647887325,0,0,1,0,0,0,0,0,0,0.127363184079602,0.12780406185091162,1,0,0,0,0,1,1,0,0,0,0.0
1,0,1,1,0.1267605633802817,1,1,1,0,0,0,1,1,1,0.8159203980099502,0.12068428340641589,0,1,0,1,0,0,0,0,1,0,1.0
1,0,0,0,0.5633802816901409,1,0,0,0,0,0,0,0,0,0.023880597014925342,0.09420147703669514,0,0,1,0,0,1,0,0,0,1,0.0
0,0,1,1,0.36619718309859156,1,1,0,1,0,1,0,0,1,0.6661691542288557,0.24611123932610202,0,1,0,1,0,0,0,1,0,0,0.0
1,0,1,1,0.7746478873239437,1,1,0,0,1,0,1,1,1,0.8114427860696517,0.6342776367412878,0,1,0,0,1,0,0,1,0,0,0.0
1,0,0,0,0.07042253521126761,1,0,0,0,0,0,0,0,0,0.024378109452736302,0.010841218555273483,0,0,1,1,0,0,0,0,0,1,0.0
0,0,0,0,0.02816901408450704,1,1,0,0,0,0,0,0,1,0.5587064676616916,0.024319178398338335,0,1,0,1,0,0,0,0,1,0,1.0
1,0,1,1,0.08450704225352114,1,0,1,0,0,0,0,0,0,0.32288557213930347,0.03825871220863144,1,0,0,1,0,0,0,0,0,1,0.0
1,0,1,1,0.04225352112676056,1,0,0,0,0,0,0,0,0,0.025870646766169153,0.005088852988691437,0,0,1,1,0,0,0,0,0,1,0.0
0,0,0,0,0.4507042253521127,1,0,1,0,0,1,1,0,1,0.7034825870646766,0.34720170782367876,0,1,0,0,0,1,0,0,1,0,0.0
1,1,0,0,0.36619718309859156,1,1,0,0,1,0,0,0,1,0.5950248756218905,0.24425340410800833,0,1,0,1,0,0,0,0,1,0,1.0
0,0,1,0,1.0,1,1,0,0,0,0,0,0,1,0.0527363184079602,0.1967632125548119,0,0,1,0,0,1,1,0,0,0,0.0
0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0.014925373134328346,0.0001096238172167089,0,0,1,1,0,0,0,0,0,1,0.0
0,1,0,0,0.9859154929577465,0,0,1,1,0,0,1,1,1,0.3800995024875622,0.4577140549273021,1,0,0,0,1,0,0,0,1,0,0.0
1,0,0,0,0.16901408450704225,1,1,0,0,0,0,0,1,1,0.6736318407960199,0.13810870066928227,0,1,0,1,0,0,0,0,1,0,0.0
1,0,1,1,0.33802816901408456,0,0,1,1,1,0,1,1,1,0.4014925373134328,0.1712266328179091,1,0,0,1,0,0,0,1,0,0,1.0
0,0,0,0,0.9295774647887325,1,0,0,0,0,1,0,0,0,0.32139303482587056,0.3740249249942303,1,0,0,0,0,1,1,0,0,0,0.0
0,0,0,0,0.0,0,0,0,0,0,0,0,1,1,0.17114427860696518,0.0019213016385875841,1,0,0,1,0,0,0,0,1,0,1.0
0,0,0,0,0.014084507042253521,1,0,0,0,0,0,0,0,0,0.25970149253731345,0.007206323563351027,1,0,0,1,0,0,0,0,1,0,1.0
1,0,0,0,0.5915492957746479,1,1,0,0,0,0,0,0,1,0.07412935323383085,0.13494114931917842,0,0,1,0,0,1,0,1,0,0,0.0
1,0,0,0,0.3098591549295775,1,0,1,0,0,0,0,0,1,0.5646766169154228,0.20305792753288715,0,1,0,1,0,0,1,0,0,0,0.0
1,0,1,1,0.8873239436619719,1,0,0,0,0,0,0,0,0,0.019402985074626844,0.14527463651050082,0,0,1,0,0,1,0,0,0,1,0.0
0,0,0,1,0.7887323943661972,1,0,0,0,0,0,0,0,1,0.013432835820895522,0.13290445418878374,0,0,1,0,0,1,0,0,0,1,0.0
1,1,1,0,0.0,1,0,0,0,0,0,0,0,1,0.5194029850746269,0.005960073851834756,0,1,0,1,0,0,0,0,0,1,1.0
1,1,1,1,1.0,1,1,1,1,1,1,1,1,1,0.6945273631840796,0.7393087929840757,1,0,0,0,0,1,0,1,0,0,0.0
1,0,0,0,0.09859154929577466,1,1,1,0,0,1,0,1,0,0.5263681592039802,0.06287214401107778,1,0,0,1,0,0,0,0,1,0,1.0
1,0,1,0,0.8450704225352113,1,1,0,1,0,0,1,1,1,0.8238805970149253,0.6868739903069467,0,1,0,0,0,1,1,0,0,0,0.0
0,0,0,0,0.8873239436619719,1,1,1,1,0,0,0,0,1,0.6572139303482587,0.608152550196169,0,1,0,0,1,0,0,1,0,0,0.0
0,1,1,0,0.9859154929577465,1,1,0,0,0,0,0,0,0,0.056716417910447736,0.20048465266558968,0,0,1,0,0,1,1,0,0,0,0.0
1,0,1,1,0.9014084507042254,1,1,1,1,0,1,1,0,1,0.8039800995024875,0.7382760212324024,0,1,0,0,0,1,0,1,0,0,0.0
0,0,0,0,0.02816901408450704,1,0,0,0,0,0,0,0,0,0.013432835820895522,0.004909993076390492,0,0,1,0,1,0,0,0,0,1,0.0
0,0,0,0,0.0,1,0,0,0,0,0,0,0,1,0.27263681592039796,0.0030983152550196165,1,0,0,1,0,0,0,0,1,0,1.0
0,0,0,1,0.4084507042253521,1,0,0,1,1,0,1,0,0,0.46019900497512434,0.22053427186706673,1,0,0,0,1,0,0,1,0,0,0.0
0,0,1,1,0.19718309859154928,1,0,0,1,1,1,0,1,1,0.5099502487562189,0.12146318947611356,1,0,0,1,0,0,0,0,0,1,0.0
1,0,1,1,0.09859154929577466,1,0,0,0,0,1,1,1,1,0.5004975124378109,0.06295291945534273,1,0,0,1,0,0,0,0,1,0,0.0
0,0,0,0,0.08450704225352114,1,1,0,0,0,0,1,1,0,0.763681592039801,0.07347103623355643,0,1,0,1,0,0,0,0,0,1,1.0
1,0,1,1,0.971830985915493,1,1,1,1,1,0,1,1,1,0.8945273631840797,0.9129644588045235,0,1,0,0,1,0,0,1,0,0,0.0
0,0,1,1,0.8591549295774649,1,0,1,1,1,1,1,1,0,0.6751243781094527,0.5996365105008078,1,0,0,0,0,1,0,0,1,0,0.0
1,0,1,1,0.07042253521126761,1,0,0,0,0,0,0,0,0,0.014427860696517386,0.01092776367412878,0,0,1,1,0,0,0,0,0,1,0.0
1,0,1,1,0.18309859154929578,1,0,0,0,0,0,0,1,1,0.6233830845771144,0.1308562197092084,0,1,0,1,0,0,1,0,0,0,0.0
1,0,0,0,0.295774647887324,1,1,0,0,0,0,1,0,1,0.6557213930348259,0.208071774751904,0,1,0,1,0,0,1,0,0,0,0.0
0,0,1,1,0.295774647887324,1,0,0,0,0,0,0,0,0,0.018905472636815884,0.0462843295638126,0,0,1,0,1,0,0,0,0,1,0.0
0,0,1,1,0.2112676056338028,1,0,1,0,1,0,1,0,0,0.4577114427860697,0.11599353796445881,1,0,0,0,0,1,0,0,0,1,0.0
0,0,0,0,0.1267605633802817,1,1,0,0,0,0,0,0,0,0.07412935323383085,0.02686360489268405,0,0,1,0,0,1,1,0,0,0,0.0
1,0,0,1,0.16901408450704225,1,0,1,1,0,0,0,0,1,0.3756218905472637,0.08605469651511655,1,0,0,1,0,0,0,0,1,0,0.0
1,0,1,0,0.26760563380281693,1,1,1,0,0,0,0,0,0,0.6383084577114428,0.18157742903300253,0,1,0,1,0,0,0,0,1,0,1.0
1,0,0,0,0.014084507042253521,1,0,0,0,0,0,0,0,1,0.5119402985074627,0.013431802446342025,0,1,0,1,0,0,0,0,1,0,0.0
0,0,0,0,0.7323943661971831,1,1,0,1,1,1,0,1,1,0.5537313432835821,0.4545868912993307,1,0,0,0,0,1,1,0,0,0,0.0
1,0,1,1,0.14084507042253522,1,0,0,0,0,0,0,0,0,0.023383084577114438,0.024821140087699055,0,0,1,0,1,0,0,0,0,1,0.0
0,0,1,0,0.9577464788732395,1,0,0,0,0,0,0,0,0,0.01641791044776117,0.15516385875836605,0,0,1,0,0,1,0,0,0,1,0.0
1,0,0,0,0.04225352112676056,1,0,0,0,0,0,0,0,1,0.5238805970149254,0.029333025617355183,0,1,0,1,0,0,1,0,0,0,1.0
0,0,1,0,1.0,1,1,1,1,1,1,1,1,1,0.7044776119402985,0.7195534271867067,1,0,0,0,0,1,1,0,0,0,0.0
0,1,1,0,0.8028169014084507,0,0,0,1,1,0,0,1,1,0.2691542288557213,0.30376182783291017,1,0,0,1,0,0,0,0,1,0,1.0
1,0,1,1,0.2112676056338028,1,0,0,0,0,0,0,0,0,0.021393034825870627,0.03491807062081699,0,0,1,1,0,0,0,0,1,0,0.0
0,0,1,0,0.5915492957746479,1,0,1,0,1,1,0,0,1,0.6567164179104478,0.4062370182321717,0,1,0,0,1,0,1,0,0,0,0.0
1,0,1,0,0.014084507042253521,1,1,0,0,1,1,1,1,1,0.8572139303482588,0.025848142164781908,0,1,0,1,0,0,0,0,1,0,1.0
0,0,1,0,0.18309859154929578,1,0,0,1,1,1,1,1,0,0.6338308457711442,0.13419686129702285,1,0,0,0,0,1,0,0,0,1,0.0
1,0,1,0,0.7323943661971831,1,0,0,0,1,0,1,1,1,0.7621890547263681,0.574821140087699,0,1,0,0,1,0,1,0,0,0,1.0
1,0,0,0,0.4366197183098592,1,0,0,0,0,0,0,0,0,0.02288557213930348,0.07336141241633971,0,0,1,0,1,0,1,0,0,0,0.0
1,0,1,0,0.46478873239436624,1,1,0,0,0,0,0,0,0,0.06417910447761191,0.08786060466189707,0,0,1,1,0,0,0,0,1,0,0.0
1,1,0,0,0.19718309859154928,1,1,0,0,0,0,0,0,1,0.5592039800995025,0.13003692591737828,0,1,0,1,0,0,0,0,0,1,1.0
